,loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
64,0.4063,0.00016621983914209116,0.86,65,,,,,,,,,
65,0.3721,0.00016568364611260053,0.87,66,,,,,,,,,
66,0.3566,0.00016514745308310994,0.88,67,,,,,,,,,
67,0.3449,0.00016461126005361932,0.9,68,,,,,,,,,
68,0.3577,0.0001640750670241287,0.91,69,,,,,,,,,
69,0.3081,0.00016353887399463807,0.92,70,,,,,,,,,
70,0.3145,0.00016300268096514745,0.94,71,,,,,,,,,
71,0.3304,0.00016246648793565683,0.95,72,,,,,,,,,
72,0.2939,0.00016193029490616624,0.96,73,,,,,,,,,
73,0.2994,0.00016139410187667561,0.98,74,,,,,,,,,
74,0.2832,0.000160857908847185,0.99,75,,,,,,,,,
75,,,0.99,75,0.34347856044769287,384.8106,26.335,3.293,,,,,
76,0.2946,0.00016032171581769437,1.0,76,,,,,,,,,
77,0.2066,0.00015978552278820375,1.01,77,,,,,,,,,
78,0.2124,0.00015924932975871313,1.03,78,,,,,,,,,
79,0.1921,0.00015871313672922253,1.04,79,,,,,,,,,
80,0.1922,0.0001581769436997319,1.05,80,,,,,,,,,
81,0.2026,0.0001576407506702413,1.07,81,,,,,,,,,
82,0.1908,0.00015710455764075067,1.08,82,,,,,,,,,
83,0.1875,0.00015656836461126004,1.09,83,,,,,,,,,
84,0.1943,0.00015603217158176945,1.11,84,,,,,,,,,
85,0.1955,0.00015549597855227883,1.12,85,,,,,,,,,
86,0.1881,0.0001549597855227882,1.13,86,,,,,,,,,
87,0.201,0.00015442359249329758,1.15,87,,,,,,,,,
88,0.1864,0.00015388739946380696,1.16,88,,,,,,,,,
89,0.1836,0.00015335120643431634,1.17,89,,,,,,,,,
90,0.172,0.00015281501340482574,1.19,90,,,,,,,,,
91,0.2014,0.00015227882037533512,1.2,91,,,,,,,,,
92,0.1794,0.0001517426273458445,1.21,92,,,,,,,,,
93,0.1798,0.00015120643431635388,1.23,93,,,,,,,,,
94,0.1779,0.00015067024128686326,1.24,94,,,,,,,,,
95,0.1645,0.00015013404825737266,1.25,95,,,,,,,,,
96,0.1733,0.00014959785522788207,1.27,96,,,,,,,,,
97,0.1745,0.00014906166219839145,1.28,97,,,,,,,,,
98,0.1728,0.00014852546916890082,1.29,98,,,,,,,,,
99,0.1655,0.0001479892761394102,1.3,99,,,,,,,,,
100,0.1666,0.00014745308310991958,1.32,100,,,,,,,,,
101,0.1614,0.00014691689008042896,1.33,101,,,,,,,,,
102,0.1571,0.00014638069705093836,1.34,102,,,,,,,,,
103,0.1719,0.00014584450402144774,1.36,103,,,,,,,,,
104,0.1575,0.00014530831099195712,1.37,104,,,,,,,,,
105,0.1642,0.0001447721179624665,1.38,105,,,,,,,,,
106,0.1636,0.00014423592493297588,1.4,106,,,,,,,,,
107,0.1574,0.00014369973190348528,1.41,107,,,,,,,,,
108,0.1512,0.00014316353887399466,1.42,108,,,,,,,,,
109,0.1577,0.00014262734584450404,1.44,109,,,,,,,,,
110,0.1511,0.00014209115281501342,1.45,110,,,,,,,,,
111,0.1655,0.0001415549597855228,1.46,111,,,,,,,,,
112,0.1659,0.00014101876675603217,1.48,112,,,,,,,,,
113,0.1545,0.00014048257372654158,1.49,113,,,,,,,,,
114,0.1493,0.00013994638069705096,1.5,114,,,,,,,,,
115,0.1524,0.00013941018766756033,1.52,115,,,,,,,,,
116,0.1402,0.0001388739946380697,1.53,116,,,,,,,,,
117,0.1398,0.0001383378016085791,1.54,117,,,,,,,,,
118,0.1468,0.0001378016085790885,1.56,118,,,,,,,,,
119,0.1504,0.00013726541554959787,1.57,119,,,,,,,,,
120,0.1461,0.00013672922252010725,1.58,120,,,,,,,,,
121,0.1497,0.00013619302949061663,1.59,121,,,,,,,,,
122,0.1388,0.000135656836461126,1.61,122,,,,,,,,,
